Planta:;20
Fecha:;Energía Exportada (kWh);Energía Importada (kWh);E
20160328000000;0;0;S
20160327230000;0;0;S
20160327220000;0;0;S
20160327210000;0;0;S
20160327200000;0;0;S
20160327190000;8;0;S
20160327180000;11;0;S
20160327170000;26;0;S
20160327160000;30;0;S
20160327150000;31;0;S
20160327140000;31;0;S
20160327130000;29;0;S
20160327120000;27;0;S
20160327110000;20;0;S
20160327100000;15;0;S
20160327090000;9;0;S
20160327080000;0;1;S
20160327070000;0;0;S
20160327060000;0;0;S
20160327050000;0;0;S
20160327040000;0;0;S
20160327030000;0;0;S
20160327010000;0;0;W
