Planta:;20
Fecha:;Energía Exportada (kWh);Energía Importada (kWh);E
20160329000000;0;0;S
20160328230000;0;0;S
20160328220000;0;0;S
20160328210000;0;0;S
20160328200000;0;0;S
20160328190000;9;0;S
20160328180000;12;0;S
20160328170000;25;0;S
20160328160000;29;0;S
20160328150000;30;0;S
20160328140000;30;0;S
20160328130000;31;0;S
20160328120000;26;0;S
20160328110000;22;0;S
20160328100000;11;0;S
20160328090000;10;0;S
20160328080000;0;1;S
20160328070000;0;0;S
20160328060000;0;0;S
20160328050000;0;0;S
20160328040000;0;0;S
20160328030000;0;0;S
20160328020000;0;0;S
20160328010000;;0;S
